symbol,name,currency,exchange,country,type
001,Cardtronics plc,EUR,FSX,Germany,Common
013A,"JD.com, Inc.",EUR,FSX,Germany,Common
013C,"JD.com, Inc.",EUR,FSX,Germany,Common
016,Crescent Point Energy Corp.,EUR,FSX,Germany,Common
01H,"HORIBA, Ltd.",EUR,FSX,Germany,Common
01K,Keller Group plc,EUR,FSX,Germany,Common
01P,"Medpace Holdings, Inc.",EUR,FSX,Germany,Common
01T,Tokyu Corporation,EUR,FSX,Germany,Common
02B,"BlackLine, Inc.",EUR,FSX,Germany,Common
02G,"Guangzhou Automobile Group Co., Ltd.",EUR,FSX,Germany,Common
02H,Hexatronic Group AB (publ),EUR,FSX,Germany,Common
02M,Mosaic Co-The,EUR,FSX,Germany,Common Stock
02M,Mosaic Co-The,EUR,XETR,Germany,Common Stock
02V,Village Farms International Inc,EUR,FSX,Germany,Common Stock
038,Novocure Ltd,EUR,FSX,Germany,Common Stock
03F,IDP Education Limited,EUR,FSX,Germany,Common
03G,GasLog Partners LP,EUR,FSX,Germany,Common
03M,Martinrea International Inc.,EUR,FSX,Germany,Common
04K,Knight Therapeutics Inc.,EUR,FSX,Germany,Common
04M,Realogy Holdings Corp.,EUR,FSX,Germany,Common
04M,Realogy Holdings Corp.,EUR,Munich,Germany,Common
05G,"Forterra, Inc.",EUR,FSX,Germany,Common
05M,Dali Foods Group Company Limited,EUR,FSX,Germany,Common
06K1,Regis Healthcare Limited,EUR,FSX,Germany,Common
06MA,Materialise NV,EUR,FSX,Germany,American Depositary Receipt
06S,"Sportsman's Warehouse Holdings, Inc.",EUR,FSX,Germany,Common
074,Telenav Inc,EUR,FSX,Germany,Common Stock
079A,Blackstone Mortgage Trust Inc,EUR,FSX,Germany,Real Estate Investment Trust (REIT)
07C,Cookpad Inc.,EUR,FSX,Germany,Common
07G,"FLEETCOR Technologies, Inc.",EUR,FSX,Germany,Common
07H,CoreSite Realty Corp,EUR,FSX,Germany,Real Estate Investment Trust (REIT)
07K,PT Krakatau Steel (Persero) Tbk,EUR,FSX,Germany,Common
07M,China Modern Dairy Holdings Ltd.,EUR,FSX,Germany,Common
07S,SecureWorks Corp.,EUR,FSX,Germany,Common
07WA,Mr Cooper Group Inc,EUR,FSX,Germany,Common Stock
089,Cambium Networks Corporation,EUR,FSX,Germany,Common
089,Cambium Networks Corporation,EUR,Munich,Germany,Common
08IA,iDreamSky Technology Holdings Limited,EUR,FSX,Germany,Common
08M,Admie Holding S.A.,EUR,FSX,Germany,Common
08S,PT Bank Sinarmas Tbk,EUR,FSX,Germany,Common
08T,Tourmaline Oil Corp.,EUR,FSX,Germany,Common
096,HubSpot Inc,EUR,FSX,Germany,Common Stock
09B,Lastminute.com NV,EUR,FSX,Germany,Common Stock
0A3,Acceleron Pharma Inc.,EUR,FSX,Germany,Common
0AK,Aramark,EUR,FSX,Germany,Common
0AL,"Agile Therapeutics, Inc.",EUR,FSX,Germany,Common
0AW,Air Water Inc.,EUR,FSX,Germany,Common
0AZ,"Advanced Disposal Services, Inc.",EUR,FSX,Germany,Common
0B2,BAWAG Group AG,EUR,FSX,Germany,Common Stock
0BF1,WiMi Hologram Cloud Inc.,EUR,FSX,Germany,Common
0BS,Bapcor Limited,EUR,FSX,Germany,Common
0BX,Bright Smart Securities & Commodities Group Limited,EUR,FSX,Germany,Common
0C1,"Atreca, Inc.",EUR,FSX,Germany,Common
0C1,"Atreca, Inc.",EUR,Munich,Germany,Common
0C2,"Chubu Electric Power Company, Incorporated",EUR,FSX,Germany,Common
0C6,"CarGurus, Inc.",EUR,FSX,Germany,Common
0C8,"Catalent, Inc.",EUR,FSX,Germany,Common
0C9A,Cheetah Mobile Inc.,EUR,FSX,Germany,Common
0CDA,China Distance Education Holdings Limited,EUR,FSX,Germany,Common
0CG,"Chegg, Inc.",EUR,FSX,Germany,Common
0CL,Cloetta AB,EUR,FSX,Germany,Common Stock
0CP1,PT Charoen Pokphand Indonesia Tbk,EUR,FSX,Germany,Common
0CT,Card Factory plc,EUR,FSX,Germany,Common
0CZ,China Zhongwang Holdings Limited,EUR,FSX,Germany,Common
0DA,Dorian LPG Ltd.,EUR,FSX,Germany,Common
0DI,LCI Industries,EUR,FSX,Germany,Common
0E41,EnLink Midstream LLC,EUR,FSX,Germany,Unit
0EC,Everbright Securities Company Limited,EUR,FSX,Germany,Common
0EF,"e.l.f. Beauty, Inc.",EUR,FSX,Germany,Common
0ET,"Esperion Therapeutics, Inc.",EUR,FSX,Germany,Common
0EU,Reliance Worldwide Corporation Limited,EUR,FSX,Germany,Common
0F1,"NanoString Technologies, Inc.",EUR,FSX,Germany,Common
0FJ,FIT Hon Teng Limited,EUR,FSX,Germany,Common
0G6A,Great Bear Resources Ltd.,EUR,FSX,Germany,Common
0GB,GB Group plc,EUR,FSX,Germany,Common
0GI,Genworth Mortgage Insurance Australia Limited,EUR,FSX,Germany,Common
0GS,"Guidewire Software, Inc.",EUR,FSX,Germany,Common
0GT,"Stoke Therapeutics, Inc.",EUR,FSX,Germany,Common
0GV,SuRo Capital Corp.,EUR,FSX,Germany,Common
0H2,"Maxell Holdings, Ltd.",EUR,FSX,Germany,Common
0H5,"HCI Group, Inc.",EUR,FSX,Germany,Common
0H9,Seibu Holdings Inc.,EUR,FSX,Germany,Common
0HF,Focus Home Interactive Soci�t� anonyme,EUR,FSX,Germany,Common
0HLA,Silver Spike Acquisition Corp.,EUR,FSX,Germany,Common
0HO,Haichang Ocean Park Holdings Ltd.,EUR,FSX,Germany,Common
0HV,Envista Holdings Corp,EUR,FSX,Germany,Common Stock
0I3,"Axonics Modulation Technologies, Inc.",EUR,FSX,Germany,Common
0I6,Banca IFIS S.p.A.,EUR,FSX,Germany,Common
0IB,"Investors Bancorp, Inc.",EUR,FSX,Germany,Common
0IF,"LogicBio Therapeutics, Inc.",EUR,FSX,Germany,Common
0IK,"NGM Biopharmaceuticals, Inc.",EUR,FSX,Germany,Common
0IW,DaFa Properties Group Limited,EUR,FSX,Germany,Common
0JM,PT Jasa Marga (Persero) Tbk,EUR,FSX,Germany,Common
0JR,"James River Group Holdings, Ltd.",EUR,FSX,Germany,Common
0JVN,iBio Inc,EUR,FSX,Germany,Common Stock
0JW,"JELD-WEN Holding, Inc.",EUR,FSX,Germany,Common
0K1,Kureha Corporation,EUR,FSX,Germany,Common
0K3,"TFF Pharmaceuticals, Inc.",EUR,FSX,Germany,Common
0K4,"Akero Therapeutics, Inc.",EUR,FSX,Germany,Common
0K6,Velodyne Lidar Inc,EUR,FSX,Germany,Common Stock
0KD,Kornit Digital Ltd.,EUR,FSX,Germany,Common
0KE,Kernel Holding S.A.,EUR,FSX,Germany,Common
0KR,Kopy Goldfields AB (publ),EUR,FSX,Germany,Common
0KZA,Amerant Bancorp Inc.,EUR,FSX,Germany,Common
0L5,"Lamb Weston Holdings, Inc.",EUR,FSX,Germany,Common
0L8,Lantheus Holdings Inc,EUR,FSX,Germany,Common Stock
0LA,"AssetMark Financial Holdings, Inc.",EUR,FSX,Germany,Common
0LC,Ashtead Group plc,EUR,FSX,Germany,Common
0LZ,Yellow Cake plc,EUR,FSX,Germany,Common
0M3,IHS Markit Ltd.,EUR,FSX,Germany,Common
0M4,"Mersana Therapeutics, Inc.",EUR,FSX,Germany,Common
0M7,COFCO Meat Holdings Limited,EUR,FSX,Germany,Common
0MB,"Marrone Bio Innovations, Inc.",EUR,FSX,Germany,Common
0ME,Mobileye NV,EUR,FSX,Germany,Common Stock
0ME,Mobileye NV,EUR,Munich,Germany,Common Stock
0MO,"DMG Mori Co., Ltd.",EUR,FSX,Germany,Common
0NH,Nomad Foods Limited,EUR,FSX,Germany,Common
0NR,Uniphar plc,EUR,FSX,Germany,Common
0NU,Nutanix Inc,EUR,FSX,Germany,Common Stock
0NY,Codemasters Group Holdings plc,EUR,FSX,Germany,Common
0O9,Niu Technologies,EUR,FSX,Germany,American Depositary Receipt
0OC,Ocado Group PLC,EUR,FSX,Germany,Common Stock
0OE,Orion Engineered Carbons S.A.,EUR,FSX,Germany,Common
0OG,OrganiGram Holdings Inc.,EUR,FSX,Germany,Common
0OH,oOh!media Limited,EUR,FSX,Germany,Common
0OI,SolarWinds Corporation,EUR,FSX,Germany,Common
0OK,Okta Inc,EUR,FSX,Germany,Common Stock
0ON,Exchange Income Corporation,EUR,FSX,Germany,Common
0OO,Lassonde Industries Inc.,EUR,FSX,Germany,Common
0OP,"OptiNose, Inc.",EUR,FSX,Germany,Common
0OT,"Ocular Therapeutix, Inc.",EUR,FSX,Germany,Common
0OV1,OVS S.p.A.,EUR,FSX,Germany,Common
0P0,Aerie Pharmaceuticals Inc,EUR,FSX,Germany,Common Stock
0P1A,Turtle Beach Corporation,EUR,FSX,Germany,Common
0P5,Polypipe Group plc,EUR,FSX,Germany,Common
0P7,Paylocity Holding Corporation,EUR,FSX,Germany,Common
0P8,"Penumbra, Inc.",EUR,FSX,Germany,Common
0PB,"Puma Biotechnology, Inc.",EUR,FSX,Germany,Common
0PQ,ProQR Therapeutics N.V.,EUR,FSX,Germany,Common
0PT,Prothena Corp PLC,EUR,FSX,Germany,Common Stock
0PY,"Paycom Software, Inc.",EUR,FSX,Germany,Common
0Q0,StoneCo Ltd,EUR,FSX,Germany,Common Stock
0Q3,Beyond Meat Inc,EUR,FSX,Germany,Common Stock
0Q3,Beyond Meat Inc,EUR,Munich,Germany,Common Stock
0QE,Coronado Global Resources Inc.,EUR,FSX,Germany,Common
0QF,Moderna Inc,EUR,FSX,Germany,Common Stock
0QF,Moderna Inc,EUR,Munich,Germany,Common Stock
0QO,EverArc Holdings Limited,EUR,FSX,Germany,Common
0QP,"Qingdao Port International Co., Ltd.",EUR,FSX,Germany,Common
0QQA,Flex LNG Ltd.,EUR,FSX,Germany,Common
0QW,J D Wetherspoon plc,EUR,FSX,Germany,Common
0R1,Royal Unibrew A/S,EUR,FSX,Germany,Common
0R3,"Kimbell Royalty Partners, LP",EUR,FSX,Germany,Common
0R6,Restaurant Brands International Inc.,EUR,FSX,Germany,Common
0R7,Robertet SA,EUR,FSX,Germany,Common
0RA,"RAPT Therapeutics, Inc.",EUR,Munich,Germany,Common
0RH,"LMP Automotive Holdings, Inc.",EUR,FSX,Germany,Common
0S0,"SiteOne Landscape Supply, Inc.",EUR,FSX,Germany,Common
0S1,"OneMain Holdings, Inc.",EUR,FSX,Germany,Common
0S7,"Seven Bank, Ltd.",EUR,FSX,Germany,Common
0S9,"Syros Pharmaceuticals, Inc.",EUR,FSX,Germany,Common
0SL,Scandi Standard AB (publ),EUR,FSX,Germany,Common
0SR,Spar Nord Bank A/S,EUR,FSX,Germany,Common
0SV,StorageVault Canada Inc.,EUR,FSX,Germany,Common
0SZ,Ready Capital Corporation,EUR,FSX,Germany,Common
0SZ,Ready Capital Corporation,EUR,Munich,Germany,Common
0T5,"Turning Point Brands, Inc.",EUR,FSX,Germany,Common
0T7,Talend SA,EUR,FSX,Germany,American Depositary Receipt
0TA,TransAlta Renewables Inc.,EUR,FSX,Germany,Common
0TB,"Theravance Biopharma, Inc.",EUR,FSX,Germany,Common
0TGA,Teranga Gold Corp,EUR,FSX,Germany,Common Stock
0TUA,Tuniu Corporation,EUR,FSX,Germany,Common
0TW,Time Watch Investments Limited,EUR,FSX,Germany,Common
0U1N,"U.S. Concrete, Inc.",EUR,FSX,Germany,Common
0U6,Cranswick plc,EUR,FSX,Germany,Common
0UI,United Insurance Holdings Corp.,EUR,FSX,Germany,Common
0UV,Univar Solutions Inc.,EUR,FSX,Germany,Common
0UY,"Columbia Property Trust, Inc.",EUR,FSX,Germany,Common
0V4,Valvoline Inc.,EUR,FSX,Germany,Common
0V6,Vistra Corp.,EUR,FSX,Germany,Common
0VF,"Virtu Financial, Inc.",EUR,FSX,Germany,Common
0VS,"Vivint Solar, Inc.",EUR,FSX,Germany,Common
0VV,ViacomCBS Inc,EUR,FSX,Germany,Common Stock
0VVB,ViacomCBS Inc,EUR,FSX,Germany,Common Stock
0VW,Hoffmann Green Cement Technologies Soci�t� anonyme,EUR,FSX,Germany,Common
0VY,I-Mab,EUR,FSX,Germany,Common
0W2,Westgold Resources Ltd,EUR,FSX,Germany,Common Stock
0W7,Wagners Holding Company Limited,EUR,FSX,Germany,Common
0WH,WH Group Limited,EUR,FSX,Germany,Common
0WHS,WH Group Limited,EUR,FSX,Germany,Common
0WIA,"M�sM�vil Ibercom, S.A.",EUR,FSX,Germany,Common
0WKA,Workiva Inc.,EUR,FSX,Germany,Common
0WP,WPP PLC,EUR,FSX,Germany,Common Stock
0WPA,WPP plc,EUR,FSX,Germany,Common
0XC,Canvest Environmental Protection Group Company Limited,EUR,FSX,Germany,Common
0XE,Xero Limited,EUR,FSX,Germany,Common
0XHR,Xenia Hotels & Resorts Inc,EUR,FSX,Germany,Real Estate Investment Trust (REIT)
0XI,"Xiabuxiabu Catering Management (China) Holdings Co., Ltd.",EUR,FSX,Germany,Common
0XZ,Silvergate Capital Corporation,EUR,FSX,Germany,Common
0YE,"Yext, Inc.",EUR,FSX,Germany,Common
0YIA,Yintech Investment Holdings Limited,EUR,FSX,Germany,Common
0YL,Else Nutrition Holdings Inc.,EUR,FSX,Germany,Common
0YT,Hunting PLC,EUR,FSX,Germany,Common
0YU,Yum China Holdings Inc,EUR,FSX,Germany,Common Stock
0YW,ARTERIA Networks Corporation,EUR,Munich,Germany,Common
0YW,ARTERIA Networks Corporation,EUR,FSX,Germany,Common
0YX,Sysmex Corporation,EUR,FSX,Germany,Common
0YYA,JOYY Inc,EUR,FSX,Germany,American Depositary Receipt
0Z2,"Alector, Inc.",EUR,FSX,Germany,Common
0ZA,Ranpak Holdings Corp.,EUR,FSX,Germany,Common
0ZB,Converge Technology Solutions Corp.,EUR,FSX,Germany,Common
0ZG,Zillow Group Inc,EUR,FSX,Germany,Common Stock
0ZG2,"Zillow Group, Inc.",EUR,FSX,Germany,Common
0ZM,Hamilton Thorne Ltd.,EUR,FSX,Germany,Common
108,"Sumitomo Rubber Industries, Ltd.",EUR,FSX,Germany,Common
109,"Castlight Health, Inc.",EUR,FSX,Germany,Common
10D,Navient Corporation,EUR,FSX,Germany,Common
10E,Aphria Inc,EUR,FSX,Germany,Common Stock
10H,Scandic Hotels Group AB (publ),EUR,FSX,Germany,Common
10J,Howden Joinery Group Plc,EUR,FSX,Germany,Common
10VA,"Immunic, Inc.",EUR,FSX,Germany,Common
10W,McBride plc,EUR,FSX,Germany,Common
117,Arista Networks Inc,EUR,FSX,Germany,Common Stock
119,Hengxing Gold Holding Company Limited,EUR,FSX,Germany,Common
11AGG,error,INR,BSE,India,EQUITY
11C,11 bit studios SA,EUR,FSX,Germany,Common Stock
11GPG,error,INR,BSE,India,EQUITY
11GPG,error,INR,BSE,India,EQUITY
11L1,Canopy Growth Corp,EUR,FSX,Germany,Common Stock
11N,NOW Inc.,EUR,FSX,Germany,Common
11R,"Retail Properties of America, Inc.",EUR,Munich,Germany,Common
11T,"Toyoda Gosei Co., Ltd.",EUR,FSX,Germany,Common
11V,Fiverr International Ltd,EUR,FSX,Germany,Common Stock
11W,"Wacom Co., Ltd.",EUR,FSX,Germany,Common
124,Anima Holding S.p.A.,EUR,FSX,Germany,Common
12A,"Avangrid, Inc.",EUR,FSX,Germany,Common
12DA,Dell Technologies Inc,EUR,FSX,Germany,Common Stock
12DA,Dell Technologies Inc,EUR,Munich,Germany,Common Stock
12F,Fortis Inc-Canada,EUR,FSX,Germany,Common Stock
12M,I.M.A. Industria Macchine Automatiche S.p.A.,EUR,FSX,Germany,Common
12V,"Veracyte, Inc.",EUR,FSX,Germany,Common
12X1,Anavex Life Sciences Corp.,EUR,FSX,Germany,Common
134,Seplat Petroleum Development Company Plc,EUR,FSX,Germany,Common
137,"Aldeyra Therapeutics, Inc.",EUR,FSX,Germany,Common
1397,Baguio Green Group Limited,HKD,HKEX,Hong Kong,EQUITY
13B,bpost SA/NV,EUR,FSX,Germany,Common
13F,Rothschild & Co SCA,EUR,FSX,Germany,Common
13K,"Kennedy-Wilson Holdings, Inc.",EUR,FSX,Germany,Common
13N1,Horizon North Logistics Inc.,EUR,FSX,Germany,Common
13X,Xinyi Solar Holdings Ltd,EUR,FSX,Germany,Common Stock
14L,a2 Milk Co Ltd,EUR,FSX,Germany,Common Stock
14M,Macquarie Infrastructure Corporation,EUR,FSX,Germany,Common
14N1,New Residential Investment Corp.,EUR,FSX,Germany,Common
14P,China Pioneer Pharma Holdings Limited,EUR,FSX,Germany,Common
14T,Toromont Industries Ltd.,EUR,FSX,Germany,Common
15B,PT Semen Baturaja (Persero) Tbk,EUR,FSX,Germany,Common
15M1,Meridian Energy Limited,EUR,FSX,Germany,Common
15PA,"Altice USA, Inc.",EUR,FSX,Germany,Common
15R,Magnite Inc,EUR,FSX,Germany,Common Stock
163,Acushnet Holdings Corp.,EUR,FSX,Germany,Common
165,9F Inc.,EUR,FSX,Germany,Common
169,Aeroporto Guglielmo Marconi di Bologna S.p.A.,EUR,FSX,Germany,Common
16A,Clarivate Plc,EUR,FSX,Germany,Common
16H,Guangdong - Hong Kong Greater Bay Area Holdings Limited,EUR,FSX,Germany,Common
16R,Rogers Sugar Inc.,EUR,FSX,Germany,Common
16U,"Upland Software, Inc.",EUR,FSX,Germany,Common
1772,"Ganfeng Lithium Co., Ltd.",HKD,HKEX,Hong Kong,EQUITY
1797,Koolearn Technology Holding Limited,HKD,HKEX,Hong Kong,EQUITY
17F,FDM Group (Holdings) plc,EUR,FSX,Germany,Common
17K,"Kindred Biosciences, Inc.",EUR,FSX,Germany,Common
17M,Moelis & Company,EUR,FSX,Germany,Common
17PA,"Parsley Energy, Inc.",EUR,FSX,Germany,Common
17R,"Retrophin, Inc.",EUR,FSX,Germany,Common
17SA,Vedanta Limited,EUR,FSX,Germany,Common
17W,WiseTech Global Limited,EUR,FSX,Germany,Common
17X,"Acacia Communications, Inc.",EUR,FSX,Germany,Common
1810,Xiaomi Corporation,HKD,HKEX,Hong Kong,EQUITY
185,Alcoa Corp,EUR,FSX,Germany,Common Stock
188H,"Shandong Gold Mining Co., Ltd.",EUR,XDUS,Germany,Common
189A,Grupo Supervielle S.A.,EUR,FSX,Germany,Common
18I,Adient PLC,EUR,FSX,Germany,Common Stock
18LB,Investment AB Latour (publ),EUR,FSX,Germany,Common
18M,Sabre Insurance Group plc,EUR,FSX,Germany,Common
18RA,"Select Energy Services, Inc.",EUR,FSX,Germany,Common
18V,"China Vanke Co., Ltd.",EUR,FSX,Germany,Common
18WA,GSX Techedu Inc,EUR,FSX,Germany,American Depositary Receipt
195H,"China Merchants Securities Co., Ltd.",EUR,FSX,Germany,Common
19C,Caesarstone Ltd.,EUR,FSX,Germany,Common
19KA,CorMedix Inc.,EUR,FSX,Germany,Common
19O,"Overseas Shipholding Group, Inc.",EUR,FSX,Germany,Common
19P,Phreesia Inc,EUR,FSX,Germany,Common Stock
19S,Sabre Corp,EUR,FSX,Germany,Common Stock
19X,Axsome Therapeutics Inc,EUR,FSX,Germany,Common Stock
19YA,Yiren Digital Ltd.,EUR,FSX,Germany,Common
1A7,"Allison Transmission Holdings, Inc.",EUR,FSX,Germany,Common
1AC,"PennyMac Financial Services, Inc.",EUR,FSX,Germany,Common
1AD1,AddLife AB (publ),EUR,FSX,Germany,Common
1AE,argenx SE,EUR,FSX,Germany,Common
1AKA,Aker Solutions ASA,EUR,FSX,Germany,Common Stock
1AL,Alamos Gold Inc,EUR,FSX,Germany,Common Stock
1AM,Alm Brand A-S,EUR,FSX,Germany,Common Stock
1AW,"Argan, Inc.",EUR,FSX,Germany,Common
1AY,Afya Limited,EUR,FSX,Germany,Common
1B7N,Osisko Mining Inc,EUR,FSX,Germany,Common Stock
1B9,boohoo group plc,EUR,FSX,Germany,Common
1BA,TCF Financial Corporation,EUR,FSX,Germany,Common
1BF,Phoenix Group Holdings plc,EUR,FSX,Germany,Common
1BR1,Unibail-Rodamco-Westfield SE,EUR,FSX,Germany,Common
1C4,Mandarin Oriental International Limited,EUR,FSX,Germany,Common
1C5,"Citizens Financial Group, Inc.",EUR,FSX,Germany,Common
1C6,Corporate Travel Management Limited,EUR,FSX,Germany,Common
1C9,CCL Industries Inc.,EUR,FSX,Germany,Common
1CB,Change Healthcare Inc.,EUR,Munich,Germany,Common
1CIA,"Vista Oil & Gas, S.A.B. de C.V.",EUR,FSX,Germany,Common
1CK,CK Asset Holdings Ltd,EUR,FSX,Germany,Common Stock
1CO1,Covestro AG,EUR,FSX,Germany,Common
1COV,Covestro AG,EUR,XETR,Germany,Common Stock
1COV,Covestro AG,EUR,FSX,Germany,Common Stock
1CT,Chow Tai Fook Jewellery Group Limited,EUR,Munich,Germany,Common
1CT,Chow Tai Fook Jewellery Group Limited,EUR,FSX,Germany,Common
1CU,Discovery Metals Corp.,EUR,FSX,Germany,Common
1CV,Civmec Limited,EUR,FSX,Germany,Common
1CY,China Yongda Automobiles Services Holdings Limited,EUR,FSX,Germany,Common
1D2,"Beijing Digital Telecom Co., Ltd.",EUR,FSX,Germany,Common
1D3,Seritage Growth Properties,EUR,FSX,Germany,Common
1D8,Accsys Technologies PLC,EUR,FSX,Germany,Common
1DB,doValue S.p.A.,EUR,FSX,Germany,Common
1DH,Clarkson PLC,EUR,FSX,Germany,Common
1DJ,Bastide Le Confort M�dical SA,EUR,FSX,Germany,Common
1DN,"Donnelley Financial Solutions, Inc.",EUR,FSX,Germany,Common
1DP,Elkem ASA,EUR,FSX,Germany,Common
1E6,Eagle Pharmaceuticals Inc-DE,EUR,FSX,Germany,Common Stock
1EC,Venator Materials PLC,EUR,FSX,Germany,Common
1EK,Veoneer Inc,EUR,FSX,Germany,Common Stock
1EKA,"Veoneer, Inc.",EUR,FSX,Germany,Common
1EL,Ellington Financial Inc.,EUR,FSX,Germany,Common
1ES,goeasy Ltd.,EUR,FSX,Germany,Common
1F5,Foresight Solar Fund Limited,EUR,FSX,Germany,Common
1F8,Fincantieri S.p.A.,EUR,FSX,Germany,Common
1F9,Five9 Inc,EUR,FSX,Germany,Common Stock
1FA,Sprouts Farmers Market Inc,EUR,FSX,Germany,Common Stock
1FC,FACC AG,EUR,XETR,Germany,Common
1FC,FACC AG,EUR,FSX,Germany,Common
1FD,"Floor & Decor Holdings, Inc.",EUR,FSX,Germany,Common
1FG,"FibroGen, Inc.",EUR,FSX,Germany,Common
1FH,Freehold Royalties Ltd.,EUR,FSX,Germany,Common
1FN,Fnac Darty SA,EUR,FSX,Germany,Common
1FQ,Adairs Limited,EUR,FSX,Germany,Common
1FS,FM Mattsson Mora Group AB (publ),EUR,FSX,Germany,Common
1FW,WuXi Biologics (Cayman) Inc.,EUR,FSX,Germany,Common
1G9,gumi Inc.,EUR,FSX,Germany,Common
1GC,Canada Goose Holdings Inc.,EUR,FSX,Germany,Common
1GH,Gabriel Holding A/S,EUR,FSX,Germany,Common
1GL,Corvus Gold Inc,EUR,FSX,Germany,Common Stock
1GSN,Novanta Inc.,EUR,FSX,Germany,Common
1GT,"GEK TERNA Holdings, Real Estate, Construction S.A.",EUR,FSX,Germany,Common
1GU,Grubhub Inc.,EUR,FSX,Germany,Common
1H0,Chorus Aviation Inc.,EUR,FSX,Germany,Common
1H4,"Heartland Financial USA, Inc.",EUR,FSX,Germany,Common
1HB1,Heat Biologics Inc,EUR,FSX,Germany,Common Stock
1HH,Hua Hong Semiconductor Limited,EUR,FSX,Germany,Common
1HI,"First Hawaiian, Inc.",EUR,FSX,Germany,Common
1HM,Adaptive Biotechnologies Corp,EUR,Munich,Germany,Common Stock
1HM,Adaptive Biotechnologies Corp,EUR,FSX,Germany,Common Stock
1HO1,Redrow plc,EUR,FSX,Germany,Common
1HQ,Ten Square Games S.A.,EUR,FSX,Germany,Common
1HTA,Hyatt Hotels Corp,EUR,FSX,Germany,Common Stock
1HW,Hawaiian Holdings Inc,EUR,FSX,Germany,Common Stock
1I1,International Tower Hill Mines Ltd.,EUR,FSX,Germany,Common
1I5,IPL Plastics Inc.,EUR,FSX,Germany,Common
1I9,Sinch AB (publ),EUR,FSX,Germany,Common
1ID,ID Logistics Group SA,EUR,FSX,Germany,Common
1IJA,"Adicet Bio, Inc.",EUR,FSX,Germany,Common
1IK,"Innovative Industrial Properties, Inc.",EUR,FSX,Germany,Common
1IP,IPH Limited,EUR,XHAM,Germany,Common
1IP,IPH Limited,EUR,FSX,Germany,Common
1IQ,Frasers Property Limited,EUR,FSX,Germany,Common
1IU,Preferred Bank,EUR,FSX,Germany,Common
1IV,St. James's Place plc,EUR,FSX,Germany,Common
1IV,St. James's Place plc,EUR,XDUS,Germany,Common
1JJA,Avanza Bank Holding AB (publ),EUR,FSX,Germany,Common
1JK,"Apellis Pharmaceuticals, Inc.",EUR,FSX,Germany,Common
1JO,Joint Corp-The,EUR,FSX,Germany,Common Stock
1JP,"Japan Post Holdings Co., Ltd.",EUR,FSX,Germany,Common
1JS,Shield Therapeutics plc,EUR,FSX,Germany,Common
1K0,"IGM Biosciences, Inc.",EUR,FSX,Germany,Common
1K1,Qube Holdings Limited,EUR,FSX,Germany,Common
1K3,Knowles Corporation,EUR,FSX,Germany,Common
1K5,Renewi plc,EUR,FSX,Germany,Common
1K9,"CareDx, Inc",EUR,FSX,Germany,Common
1KA,"Akcea Therapeutics, Inc.",EUR,FSX,Germany,Common
1KG,Kainos Group plc,EUR,FSX,Germany,Common
1KJ,"10x Genomics, Inc.",EUR,FSX,Germany,Common
1KPA,"Protara Therapeutics, Inc.",EUR,FSX,Germany,Common
1KR,DS Smith Plc,EUR,FSX,Germany,Common
1KT,Keysight Technologies Inc,EUR,FSX,Germany,Common Stock
1KU,Avaya Holdings Corp.,EUR,FSX,Germany,Common
1L3,Lifco AB,EUR,FSX,Germany,Common Stock
1L8,Loral Space & Communications Inc.,EUR,FSX,Germany,Common
1LFA,LexinFintech Holdings Ltd.,EUR,FSX,Germany,Common
1LG,Liberty Global PLC,EUR,FSX,Germany,Common Stock
1LGB,Liberty Global plc,EUR,FSX,Germany,Common
1LGC,Liberty Global PLC,EUR,FSX,Germany,Common Stock
1LK,Link Administration Holdings Limited,EUR,FSX,Germany,Common
1LL,Liberty Latin America Ltd.,EUR,FSX,Germany,Common
1LNB,Spirax-Sarco Engineering plc,EUR,FSX,Germany,Common
1LRC,Equinox Gold Corp,EUR,FSX,Germany,Common Stock
1LUA,Leju Holdings Limited,EUR,FSX,Germany,Common
1LX,"Cellular Biomedicine Group, Inc.",EUR,FSX,Germany,Common
1M0,Hamilton Lane Incorporated,EUR,FSX,Germany,Common
1M4,MSG Networks Inc.,EUR,FSX,Germany,Common
1M5,UP Fintech Holding Limited,EUR,FSX,Germany,Common
1MA,MACOM Technology Solutions Holdings Inc,EUR,FSX,Germany,Common Stock
1MD,Modern Dental Group Limited,EUR,FSX,Germany,Common
1MOA,Momo Inc,EUR,FSX,Germany,American Depositary Receipt
1MS,Munters Group AB (publ),EUR,FSX,Germany,Common
1MTA,Matas A-S,EUR,FSX,Germany,Common Stock
1MW1,Mediawan SA,EUR,FSX,Germany,Common
1N31,Newtek Business Services Corp.,EUR,FSX,Germany,Common
1N4,New Mountain Finance Corporation,EUR,FSX,Germany,Common
1N6,"NextEra Energy Partners, LP",EUR,FSX,Germany,Common
1N7,Nevro Corp.,EUR,FSX,Germany,Common
1N8,Adyen N.V.,EUR,FSX,Germany,Common
1N8U,Adyen N.V.,EUR,FSX,Germany,Common
1NBA,Anheuser-Busch InBev SA/NV,EUR,FSX,Germany,Common
1NBA,Anheuser-Busch InBev SA/NV,EUR,XETR,Germany,Common
1NC,Norwegian Cruise Line Holdings Ltd,EUR,FSX,Germany,Common Stock
1NE,Verrica Pharmaceuticals Inc.,EUR,FSX,Germany,Common
